GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-jacoco-multi-module-demo-reports/maven-jacoco-multi-module-demo-numbers,io.codejournal.maven.jacoco.numbers,LastDigit,0,18,0,2,0,4,0,3,0,2
maven-jacoco-multi-module-demo-reports/maven-jacoco-multi-module-demo-strings,io.codejournal.maven.jacoco.strings,HelloName,0,17,0,4,0,5,0,4,0,2
